a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
adwaita-maia 20191107-2
adwaita-qt 1.1.90-1
alacarte 3.36.0+0+g7b5fc64-1
alsa-firmware 1.2.1-2
alsa-lib 1.2.3.2-1
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-2
amtk 5.0.2-1
aom 2.0.0-1
apache 2.4.46-2
apparmor 2.13.4-6
appstream-glib 0.7.18-1
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-appstream-data 20200720-1.1
archlinux-keyring 20200820-1
argon2 20190702-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.1-1
atk 2.36.0-1
atkmm 2.28.0-2
atool 0.39.0-7
attica 5.74.0-1
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
baobab 3.34.1-1
bash 5.0.018-1
bash-completion 2.11-1
bashrc-manjaro 5.0.018-1
bc 1.07.1-4
bcg729 1.0.4-5
binutils 2.35-2
bison 3.6.4-1
bitwarden-bin 1.22.2-2
bluez 5.55-1
bluez-libs 5.55-1
bmenu 0.14-1
bolt 0.9-1
boost-libs 1.72.0-2
brotli 1.0.9-2
btrfs-progs 5.7-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.1-2
ca-certificates 20181109-4
ca-certificates-mozilla 3.57-1
ca-certificates-utils 20181109-4
caffeine-ng 3.4.2-2.3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
cdparanoia 10.2-8
cfitsio 1:3.49-1
cheese 3.34.0+23+gcac6d3a1-1
chromaprint 1.5.0-2
chrome-gnome-shell 10.1-4
chromium 86.0.4240.111-2
chrony 3.5.1-1
cifs-utils 6.11-1
ckbcomp 1.194-1
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmus 2.8.0-5
code 1.49.1-1
cogl 1.22.8-1
colord 1.4.4+9+g1ce26da-2
colord-gtk 0.2.0-2
colord-sane 1.4.4+9+g1ce26da-2
confuse 3.3-1
coreutils 8.32-1
cpupower 5.7-1
cracklib 2.9.7-2
crda 4.14-3
cronie 1.5.5-1
cryptomator 1.5.8-1
cryptsetup 2.3.4-1
cups 2.3.3-3
cups-filters 1.28.3-1
cups-pdf 3.0.1-5
cups-pk-helper 0.2.6-4
curl 7.72.0-2
dash 0.5.11.2-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
dconf-editor 3.36.4-1
deja-dup 42.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhclient 4.4.2-2
dhcpcd 9.2.0-1
diffutils 3.7-3
ding-libs 0.6.1-3
djvulibre 3.5.27-6
dkms 2.8.3-1.1
dmidecode 3.2-2
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-2
dnssec-anchors 20190629-2
dosfstools 4.1-3
double-conversion 3.1.5-2
duplicity 0.8.15-1
dynamic-wallpaper-editor 2.5-1
e2fsprogs 1.45.6-3
ecryptfs-utils 111-4
efibootmgr 17-2
efivar 37-4
electron 9.2.1-1
element-desktop 1.7.5-1
element-web 1.7.5-1
elfutils 0.181-1
enchant 2.2.10-1
evince 3.36.7-1
evolution-data-server 3.36.5-1
exempi 2.5.2-1
exfat-utils 1.3.0-2
exiv2 0.27.3-1
expac 10-2
expat 2.2.9-3
f2fs-tools 1.14.0-1
faac 1.30-2
faad2 2.9.2-1
fakeroot 1.24-2
ffmpeg 2:4.3.1-2
ffmpegthumbnailer 2.2.2-2
fftw 3.3.8-3
file 5.39-1
file-roller 3.36.3-1
filesystem 2020.09-2
findutils 4.7.0-2
firefox 82.0.2-0.1
firefox-gnome-theme-maia 20200804-1
flac 1.3.3-2
flatpak 1.8.1-1
flex 2.6.4-3
fluidsynth 2.1.5-2
folks 0.14-1
fontconfig 2:2.13.91+48+gfcb0420-2
foomatic-db 3:20200822-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.3-2
fprintd 1.90.1-1
freeglut 3.2.1-2
freetype2 2.10.4-0
frei0r-plugins 1.7.0-1
